id;name;description;status;type_id
1;Strategist;Refined copying Rustic Soft Pants;ACTIVE;1
2;SQL;generate copying Ergonomic Plastic Chips;ACTIVE;2
3;Tools;invoice solutions;BLOCKED;3
4;Interactions Ergonomic Metal Mouse Specialist;Mobility Tuna Dong;INACTIVE;4
5;paradigm Towels Web;orchestration;INACTIVE;5
6;bypassing New Mexico;Cambridgeshire parse intangible;INACTIVE;6
7;Codes specifically reserved for testing purposes Handmade Steel Chips;Morocco Personal Loan Account white;INACTIVE;7
8;Guinea Intelligent Rubber;Soap fuchsia Books;BLOCKED;8
9;Ramp Brook;strategy Ergonomic Granite Fish Cambridgeshire;PENDING;9
10;Legacy interface East Caribbean Dollar;Steel Turnpike override;BLOCKED;10
